,date,tenor,side,quantity,price
0,2022-01-03,tenor_1,BUY,0.3,75.21
1,2022-01-06,tenor_1,SELL,0.6,77.85
2,2022-01-11,tenor_1,BUY,0.6,78.23
3,2022-01-12,tenor_1,SELL,0.6,81.22
4,2022-01-24,tenor_1,BUY,0.6,85.14
5,2022-01-26,tenor_1,SELL,0.6,85.6
6,2022-01-28,tenor_1,BUY,0.6,86.61
7,2022-02-01,tenor_1,SELL,0.6,88.15
8,2022-02-09,tenor_1,BUY,0.6,89.36
9,2022-02-14,tenor_1,SELL,0.6,93.1
10,2022-02-16,tenor_1,BUY,0.3,92.07
11,2022-02-17,tenor_1,SELL,0.3,93.66
12,2022-02-18,tenor_1,BUY,0.6,91.76
13,2022-02-23,tenor_1,SELL,0.6,92.35
14,2022-02-24,tenor_1,BUY,0.6,92.1
15,2022-03-01,tenor_1,SELL,0.6,95.72
16,2022-03-10,tenor_1,BUY,0.6,108.7
17,2022-03-18,tenor_1,SELL,0.6,102.98
18,2022-03-29,tenor_1,BUY,0.6,105.96
19,2022-04-13,tenor_1,SELL,0.6,100.6
20,2022-04-20,tenor_1,BUY,0.6,102.56
21,2022-04-29,tenor_1,SELL,0.6,105.36
22,2022-05-04,tenor_1,BUY,0.6,102.41
23,2022-05-05,tenor_1,SELL,0.6,107.81
24,2022-05-10,tenor_1,BUY,0.6,103.09
25,2022-05-12,tenor_1,SELL,0.6,105.71
26,2022-05-19,tenor_1,BUY,0.6,109.59
27,2022-05-20,tenor_1,SELL,0.6,112.21
28,2022-05-24,tenor_1,BUY,0.6,110.29
29,2022-05-27,tenor_1,SELL,0.6,114.09
30,2022-06-02,tenor_1,BUY,0.6,115.26
31,2022-06-03,tenor_1,SELL,0.6,116.87
32,2022-06-15,tenor_1,BUY,0.6,118.93
33,2022-06-29,tenor_1,SELL,0.6,111.76
34,2022-06-30,tenor_1,BUY,0.6,109.78
35,2022-07-19,tenor_1,SELL,0.6,102.6
36,2022-07-21,tenor_1,BUY,0.6,102.26
37,2022-10-05,tenor_1,SELL,0.6,86.52
38,2022-10-11,tenor_1,BUY,0.3,91.13
39,2022-10-12,tenor_1,BUY,0.3,89.35
40,2022-11-07,tenor_1,SELL,0.6,92.61
41,2022-11-08,tenor_1,BUY,0.6,91.79
42,2022-12-15,tenor_1,SELL,0.6,77.28
43,2022-12-16,tenor_1,BUY,0.6,76.11
44,2022-12-22,tenor_1,SELL,0.6,78.29
45,2022-12-23,tenor_1,BUY,0.6,77.49
46,2022-12-27,tenor_1,SELL,0.6,79.56
47,2022-12-28,tenor_1,BUY,0.6,79.53
48,2023-01-17,tenor_1,SELL,0.6,79.86
49,2023-01-18,tenor_1,BUY,0.6,80.18
50,2023-04-03,tenor_1,SELL,0.6,75.67
51,2023-04-10,tenor_1,BUY,0.3,80.7
52,2023-04-11,tenor_1,BUY,0.3,79.74
53,2023-04-12,tenor_1,SELL,0.6,81.53
54,2023-04-14,tenor_1,BUY,0.6,82.16
55,2023-05-25,tenor_1,SELL,0.6,74.34
56,2023-05-26,tenor_1,BUY,0.6,71.83
57,2023-07-10,tenor_1,SELL,0.6,73.86
58,2023-07-11,tenor_1,BUY,0.6,72.99
59,2023-07-12,tenor_1,SELL,0.6,74.83
60,2023-07-17,tenor_1,BUY,0.6,75.42
61,2023-07-25,tenor_1,SELL,0.6,78.74
62,2023-07-27,tenor_1,BUY,0.6,78.78
63,2023-07-28,tenor_1,SELL,0.6,80.09
64,2023-08-02,tenor_1,BUY,0.6,81.37
65,2023-08-07,tenor_1,SELL,0.6,82.82
66,2023-08-08,tenor_1,BUY,0.6,81.94
67,2023-08-09,tenor_1,SELL,0.6,82.92
68,2023-08-11,tenor_1,BUY,0.6,82.82
69,2023-09-01,tenor_1,SELL,0.6,83.63
70,2023-09-21,tenor_1,BUY,0.6,90.28
71,2023-09-28,tenor_1,SELL,0.6,93.68
